YearsExperience,PerformanceScore,Department,EducationLevel,RemoteStatus,Salary,Attrition
7.3,1.0,Engineering,Bachelor,Onsite,72523.45,Yes
3.0,3.0,HR,Bachelor,Remote,57305.14,Yes
,4.0,Sales,Bachelor,Remote,70712.51,No
3.7,2.0,Engineering,Bachelor,Remote,62585.76,Yes
,5.0,Sales,Master,Onsite,69850.65,No
,5.0,Sales,Bachelor,Onsite,61923.11,No
4.1,2.0,Sales,Master,Onsite,60886.79,Yes
8.5,2.0,Engineering,Bachelor,Onsite,77565.66,No
,5.0,Engineering,Master,Onsite,78291.21,No
5.6,3.0,Engineering,Bachelor,Remote,72601.67,Yes
18.1,4.0,Engineering,Master,Remote,102963.36,No
4.1,5.0,HR,Bachelor,Onsite,66054.18,No
8.2,4.0,Sales,Bachelor,Remote,64331.54,No
,4.0,Marketing,Bachelor,Onsite,92334.5,No
4.5,,Sales,Master,Onsite,70212.52,No
4.0,5.0,HR,Bachelor,Onsite,57465.31,No
6.9,3.0,Engineering,Bachelor,Onsite,73956.74,No
4.0,4.0,Engineering,Bachelor,Onsite,67432.89,No
9.6,1.0,Sales,Master,Onsite,202203.51,Yes
6.3,5.0,Sales,PhD,Remote,88641.63,No
7.1,1.0,Marketing,Master,Onsite,60745.24,Yes
6.9,4.0,Marketing,Master,Remote,72844.49,No
5.5,5.0,Engineering,PhD,Onsite,87871.63,No
9.9,4.0,HR,PhD,Remote,88360.06,No
10.8,1.0,Marketing,Master,Onsite,70065.54,No
11.1,4.0,Marketing,Bachelor,Onsite,73937.42,No
12.0,1.0,Sales,Bachelor,Remote,72985.34,No
6.0,4.0,Sales,Bachelor,Remote,70834.55,No
8.0,1.0,Sales,Bachelor,Remote,67089.09,No
1.9,5.0,Marketing,Bachelor,Remote,61309.46,No
6.6,3.0,Sales,PhD,Onsite,66131.06,Yes
3.6,5.0,Engineering,Bachelor,Onsite,72653.56,No
15.5,3.0,Marketing,PhD,Onsite,99189.73,No
9.1,,Engineering,Master,Onsite,82242.71,No
2.4,1.0,HR,Master,Remote,54101.52,Yes
14.7,1.0,Engineering,Master,Onsite,88171.23,No
2.9,3.0,HR,Master,Onsite,61051.42,Yes
8.2,3.0,Marketing,Bachelor,Onsite,65961.22,Yes
13.1,3.0,Sales,Bachelor,Remote,78943.73,No
4.0,,HR,Bachelor,Remote,59901.58,No
13.1,,Marketing,Bachelor,Onsite,64605.31,Yes
14.1,2.0,HR,Master,Onsite,83654.33,No
,3.0,Sales,Bachelor,Onsite,60526.65,No
5.7,2.0,HR,Bachelor,Remote,60928.01,Yes
7.1,4.0,Sales,Bachelor,Remote,66399.52,Yes
4.9,4.0,Engineering,Bachelor,Remote,64742.94,No
6.0,,Marketing,Master,Remote,168928.29,Yes
6.7,5.0,Sales,Bachelor,Onsite,76634.54,No
4.8,4.0,Sales,PhD,Remote,69937.88,No
,5.0,Sales,Bachelor,Onsite,63850.89,No
13.8,4.0,Sales,Bachelor,Onsite,82156.69,No
11.1,1.0,HR,Bachelor,Remote,61812.56,Yes
9.7,3.0,Sales,Master,Remote,80511.01,No
15.2,2.0,Sales,Bachelor,Onsite,75131.74,No
7.8,5.0,Engineering,Bachelor,Remote,78809.68,No
1.4,1.0,Sales,Bachelor,Remote,48485.74,Yes
6.0,1.0,Engineering,Bachelor,Remote,55587.1,Yes
2.4,3.0,Sales,Master,Remote,60860.31,No
8.6,3.0,Engineering,Master,Onsite,88718.6,No
5.8,5.0,HR,Bachelor,Remote,70027.54,No
7.5,4.0,Sales,Bachelor,Remote,66053.56,No
4.7,3.0,Engineering,Bachelor,Onsite,70654.06,No
